Nom,Alquiler,Extra,Carrer,Direccion,Barri,Districte,Població,Província,Descripcion,Latitud,Longitud
Alquiler de piso en calle de pizarro,1.650 €/me,    149 m²   4 hab.   5ª planta, Carrer de pizarro  , Carrer de pizarro   El Pla del Remei     L'Eixample    ,El Pla del Remei   , L'Eixample   ,Valencia,València,"Edificio de 1969 con fachada caravista y mármol, adaptado a minusválidos con ascensor a cota cero en el Pla del Remei (zona L'Eixample). Nada más salir del portal, encontrará todo tipo de servicios necesarios: supermercados, farmacias, colegios, tiendas, etc. También podrán disfrutar a escasos me...",39.4671235,-0.3719351
Alquiler de dúplex en El Carme,850 €/m  ,100 m²   3 hab.   1ª planta exterior,   ,    El Carme     Ciutat Vella    ,El Carme   , Ciutat Vella   ,Valencia,València,"Estupendo piso dúplex en el Carmen de 3 dormitorios, sin amueblar, cocina con galería, 2 baños, amplio y luminoso salón, dispone de gas ciudad, gastos de comunidad incluidos, con ascensor, situado en el casco antiguo de la ciudad, a pocos minutos del Cauce del Río, tienes que venir a verlo, no te...",39.4793514,-0.380721
Alquiler de piso en Exposició,3.500 €/me,    185 m²   4 hab.   3ª planta exterior,   ,    Exposició     El Pla del Real    ,Exposició   , El Pla del Real   ,Valencia,València,"Exclusivo y elegante piso de 200 m2 aproximadamente, con vistas al Paseo de la Alameda, en una de las mejores zonas de Pla del Real. Un precioso hall de entrada nos invita a adentrarnos a cada una de las estancias que se ubican en la propiedad. Su exquisito salón comedor, de grandes dimensiones y...",39.47681619999999,-0.3642437
Alquiler de piso en carrer de l'ermita,1.200 €/me,    118 m²   3 hab.," Carrer de l'ermita, 1  "," Carrer de l'ermita, 1   La Roqueta     Extramurs    ",La Roqueta   , Extramurs   ,Valencia,València,"PLAZA DE ESPAÑA - CENTRO DE CIUDAD Vivienda reformada a estrenar con calidades de diseño y lujo. Su distribución en chaflán consigue que la casa sea especialmente luminosa y además disfruta de dos balcones con bonitas vistas. Distribuida en amplio salón comedor, cocina, tres habitaciones y dos ba...",39.4654133,-0.3810756
Alquiler de piso en calle Samuel Ros,1.600 €/me,    145 m²   4 hab.   4ª planta exterior, Carrer Samuel Ros  , Carrer Samuel Ros   Penya-Roja     Camins al Grau    ,Penya-Roja   , Camins al Grau   ,Valencia,València,"Amplia vivienda de 4 dormitorios en el corazón del barrio de la avenida de Francia, situada en uno de los complejos residenciales más demandados de la zona. Se trata de una completa vivienda, ya que tiene todo lo que necesitas con una estupenda distribución. Quién no quiere una amplia cocina dise...",39.4608536,-0.3466732
Alquiler de piso en BARON DE CARCER,1.500 €/me,    196 m²   5 hab.   5ª planta exterior,  BARON DE CARCER  ,  BARON DE CARCER   El Pilar     Ciutat Vella    ,El Pilar   , Ciutat Vella   ,Valencia,València,"Vivienda o despacho exterior, luminosa y reformada en edificio señorial de 1941, junto a la Pz. del Ayuntamiento y el mercado Central en el corazón de Ciutat Vella, inmejorable ubicación. Tiene 196m2 según catastro y se distribuye en hall, salon comedor con vistas a Baron de Carcer, 5 dormitorios...",39.4712802,-0.3796657
Alquiler de piso en calle del músic barbieri,650 €/m  ,96 m²   3 hab.   2ª planta interior, Carrer del músic barbieri  , Carrer del músic barbieri   Patraix     Patraix    ,Patraix   , Patraix   ,Valencia,València,"Venta piso Valencia, de 96 m². Completamente reformado en el año 2009. Distribuido en 3 habitaciones (una doble y dos sencillas), 2 baños completos (uno con plato de ducha y otro con bañera de hidromasaje), cocina independiente con galería y amplio salón comedor con un pequeño balcón. Dispone de...",39.4611551,-0.3938278
Alquiler de piso en Juristas,1.500 €/me,    105 m²   3 hab.   2ª planta exterior,"Carrer Juristas, 21  ","Carrer Juristas, 21   La Seu     Ciutat Vella    ",La Seu   , Ciutat Vella   ,Valencia,València,"CASSANA ESPECIALISTAS EN ALQUILER pone en el mercado esta bonita vivienda reformada recientemente, amueblada con mucho gusto, en la Plaza Manises, justo frente al Palau de la Generalitat, en pleno centro histórico de Valencia. El piso tiene 3 habitaciones amplias, 2 baños, salón comedor y cocina...",39.4764869,-0.3767452
Alquiler de piso en calle de les Drassanes,1.000 €/me,    72 m²   3 hab.   3ª planta exterior," Carrer de les Drassanes, 52  "," Carrer de les Drassanes, 52   El Cabanyal-El Canyamelar     Poblats Marítims    ",El Cabanyal-El Canyamelar   , Poblats Marítims   ,Valencia,València,"Apartamento junto a la Playa de Valencia en El Cabañal, SOLO PARA ALQUILER DE TEMPORADA DE CUATRIMESTRE ACADÉMICO DEL PRÓXIMO CURSO, DISPONIBLE 1 SEPTIEMBRE 2018. Capacidad para 5 personas. WIFI de alta velocidad incluido en el precio. Completamente reformado, suelos de parqué, amueblado, calefac...",39.4723179,-0.3262772
Alquiler de piso en calle Carrer de Martínez Cubells,2.500 €/me,    150 m²   3 hab.   2ª planta exterior," Carrer Carrer de Martínez Cubells, 4  "," Carrer Carrer de Martínez Cubells, 4   Sant Francesc     Ciutat Vella    ",Sant Francesc   , Ciutat Vella   ,Valencia,València,"DISPONIBLE PARA FALLAS! También en Alquiler VACACIONAL Vivienda con tres suites, Roja, Verde y Azul, ya solo este detalle lo diferencia, cada una con su baño privado con ducha, TV, estudio, aire acondicionado individual y amplia armariada. Diseño envolvente sobre los tres colores de las habitaci...",39.4682398,-0.3747563
Alquiler de piso en calle del Bisbe En Jeroni,750 €/m  ,75 m²   2 hab.   2ª planta exterior, Carrer del Bisbe En Jeroni  , Carrer del Bisbe En Jeroni   El Carme     Ciutat Vella    ,El Carme   , Ciutat Vella   ,Valencia,València,"En el Centro Histórico de Valencia a pocos metros de las Zonas mas emblemáticas, Plaza de La Virgen, Calle Caballeros, Palau Generalitat, se encuentra esta vivienda en una calle tranquila. Reforma a estrenar, totalmente amueblada y acondicionada para entrar a vivir. Se distribuye en amplio salón...",39.4770231,-0.3775858
Alquiler de piso en calle Gascó Oliag,1.100 €/me,    184 m²   4 hab.   1ª planta exterior, Carrer Gascó Oliag  , Carrer Gascó Oliag   Ciutat Universitària     El Pla del Real    ,Ciutat Universitària   , El Pla del Real   ,Valencia,València,"EXCELENTE VIVIENDA DE 184 M2, IDEAL ESTUDIANTES, con mobiliario y electrodomésticos nuevos a estrenar junto a Facultades. Dispone de HALL de Entrada muy amplio, SALÓN-COMEDOR muy espacioso con Terraza amplia, dispone de 1 ESTANCIA junto al SALÓN-COMEDOR como Despacho u otra estancia. 4 DORMITORIO...",39.4783411,-0.3574345
Alquiler de piso en maestro rodrigo,900 €/m  ,127 m²   3 hab.   9ª planta exterior,"Avinguda maestro rodrigo, 107  ","Avinguda maestro rodrigo, 107   Sant Pau     Campanar    ",Sant Pau   , Campanar   ,Valencia,València,"Piso espectacular con terraza en Maestro Rodrigo, zona Nou Campanar, 3 habitaciones, 2 baños, salón comedor con terraza y cocina independiente. Piso con mucha luz por ser todo exterior y esquinero. Suelo parquet, aire acondicionado. El precio incluye parking y trastero. Residencial muy bonito, co...",39.4865706,-0.4043574
Alquiler de estudio en ALAMEDA,550 €/m  ,40 m²      1ª planta exterior,  ALAMEDA  ,  ALAMEDA   Penya-Roja     Camins al Grau    ,Penya-Roja   , Camins al Grau   ,Valencia,València,"Posibilidad de alquiler por cortos periodos de tiempo, consultar precio, dependiendo de temporada. VALENCIA, REF. 3277 ZONA CIUDAD DE LAS CIENCIAS. Ven a estrenar este precioso loft recién amueblado de 40 metros cuadrados, suelos de mármol, paredes lisas, aire acondicionado frío-calor, baño con b...",39.4593047,-0.3524612
Alquiler de piso en calle de la Pianista Empar Iturbi,650 €/m  ,78 m²   2 hab.   5ª planta exterior," Carrer de la Pianista Empar Iturbi, 51  "," Carrer de la Pianista Empar Iturbi, 51   Malilla     Quatre Carreres    ",Malilla   , Quatre Carreres   ,Valencia,València,Abstenerse agencias. Es entre particulares por tanto no hay comisión de agencia.   Por favor contactar por whatsapp Visitas sábados y domingos.   No se admiten mascotas y se necesita pasar un seguro de impago pagado por el propietario.   Incluye seguro de hogar pagado por el propietario. Cont...,39.45435,-0.37896
Alquiler de piso en calle de Polo y Peyrolón,1.000 €/me,    115 m²   3 hab.   7ª planta exterior," Carrer de Polo y Peyrolón, 43  "," Carrer de Polo y Peyrolón, 43   Mestalla     El Pla del Real    ",Mestalla   , El Pla del Real   ,Valencia,València,"EXCELENTE EDIFICIO DE LADRILLO CARAVISTA. Bonita Vivienda de 115 m2 situada junto a Mestalla y la Avenida Aragón, en la Calle Polo y Peyrolón. Dispone de HALL de Entrada, SALÓN-COMEDOR cuadrado y espacioso con acceso a una gran Terraza exterior y rectangular recayente a la fachada principal, 3 am...",39.4739797,-0.3550025000000001
Alquiler de piso en calle de Polo y Peyrolón,950 €/m  ,121 m²   3 hab.   7ª planta exterior, Carrer de Polo y Peyrolón  , Carrer de Polo y Peyrolón   Mestalla     El Pla del Real    ,Mestalla   , El Pla del Real   ,Valencia,València,"Esta preciosa vivienda consta de 121 metros cuadrados, con 3 habitaciones, 2 cuartos de baño completos, 1 en suite, cocina amplia con galería, y salón comedor con terraza. Calidades de primerísima calidad, suelo de parquet, armarios empotrados, aire acondicionado en salón y habitación principal,...",39.4731614,-0.3550712
Alquiler de piso en La Seu,3.200 €/me,    180 m²   4 hab.,   ,    La Seu     Ciutat Vella    ,La Seu   , Ciutat Vella   ,Valencia,València,"Espaciosa vivienda de 180 m² con vistas al centro histórico de Valencia, situada en el barrio de La Seu, perteneciente al distrito de Ciutat Vella, Valencia. Se localiza en la misma Plaza de la Reina, junto a la catedral y muy cerca del Mercado Central y la Lonja de Seda. Se encuentra muy cerca d...",39.4761338,-0.3754239
Alquiler de dúplex en Exposició,3.500 €/me,    530 m²   4 hab.   8ª planta exterior,   ,    Exposició     El Pla del Real    ,Exposició   , El Pla del Real   ,Valencia,València,"Amplio y luminoso ático dúplex con piscina en Pla del Real, en situación inmejorable del Paseo Alameda de Valencia, a pocos metros de la estación de metro de Exposición. Destaca por su amplia terraza y por presentar múltiples posibilidades de redistribución de las estancias. La vivienda cuenta ac...",39.47681619999999,-0.3642437
Alquiler de piso en dolores marques,600 €/m  ,85 m²   2 hab.   1ª planta exterior,Carrer dolores marques  ,Carrer dolores marques   Sant Llorenç     Rascanya    ,Sant Llorenç   , Rascanya   ,Valencia,València,"Luminoso piso de 85m² construidos, 75m² útiles, sin amueblar, todo exterior, en finca del año 1996, dos habitaciones (una doble y otra individual), un baño completo, cocina independiente con galería cubierta, amplio comedor de 21m² con acceso a balcón, suelos de terrazo, armarios empotrados, aire...",39.4893981,-0.3614235
Alquiler de piso en Gran Vía,800 €/m  ,110 m²   3 hab.   3ª planta exterior,   ,    Gran Vía     L'Eixample    ,Gran Vía   , L'Eixample   ,Valencia,València,"Piso semi amueblado en el corazón del Eixample. Su superficie está distribuida en tres habitaciones, dos de ellas dobles y una individual. La habitación principal es muy grande y tiene amplio balcón y mucha luz, baño con bañera y bonita cocina equipada. Dispone de un encantador salón-comedor con...",39.468963,-0.3609382
Alquiler de piso en calle del doctor josep juan dómine,1.000 €/me,    180 m²   5 hab.   7ª planta exterior," Carrer del doctor josep juan dómine, 6  "," Carrer del doctor josep juan dómine, 6   El Grau     Poblats Marítims    ",El Grau   , Poblats Marítims   ,Valencia,València,"Muy buen piso de 180 m2 en una 7º altura, justo frente al puerto de Valencia. Finca de ladrillo caravista con ascensor. El inmueble se compone de salón comedor, cocina, 5 dormitorios y 2 baños. Terraza cerrada de 15 mº. Se alquila semiamueblado. Inmejorables vistas. zona consolidada con todos los...",39.4610422,-0.3328214
Alquiler de piso en avenida de pérez galdós,650 €/m  ,90 m²   2 hab.   7ª planta exterior," Avinguda de pérez galdós, 84  "," Avinguda de pérez galdós, 84   La Petxina     Extramurs    ",La Petxina   , Extramurs   ,Valencia,València,"M2 Apartments Valencia alquila vivienda vacía con electrodomésticos, 2 habitaciones, más habitación tipo trastero/vestidor o estudio pequeña con ventana, armarios empotrados, gran salón comedor, con balcón exterior con armario trastero, baño reformado. Muy bien comunicado a 5 minutos del metro An...",39.469067,-0.3914585
Alquiler de piso en calle del sant calze,1.100 €/me,    123 m²   3 hab.   2ª planta exterior," Carrer del sant calze, 1  "," Carrer del sant calze, 1   La Seu     Ciutat Vella    ",La Seu   , Ciutat Vella   ,Valencia,València,"Esta preciosa vivienda se encuentra situada junto a la Catedral de Valencia. Dispone de 3 habitaciones, un baño, cocina con galería y un amplio salón comedor. La estructura de la vivienda y su reforma integral interior nos permite disfrutar del encanto de la ciudad. Sus grandes ventanales de dobl...",39.4757267,-0.3756205
Alquiler de ático en Barraquetes del figuero,1.100 €/me,    129 m²   2 hab.   21ª planta exterior,"  Barraquetes del figuero, 1  ","  Barraquetes del figuero, 1   La Punta     Quatre Carreres    ",La Punta   , Quatre Carreres   ,Valencia,València,"Fascinante ático en alquiler con unas alucinantes vistas, muy próximo a la Ciudad de las Artes y las Ciencias. DISPONIBLE A PARTIR DEL DÍA 8 DE ABRIL. La vivienda se distribuye en dos habitaciones con armarios empotrados, grandes ventanales y suelo de parquet, dos baños completos (uno incorpora...",39.4506823,-0.3404605
Alquiler de piso en plaza de Joan de Vila-Rasa,680 €/m  ,50 m²   1 hab.   1ª planta exterior," Plaça de Joan de Vila-Rasa, 6  "," Plaça de Joan de Vila-Rasa, 6   El Mercat     Ciutat Vella    ",El Mercat   , Ciutat Vella   ,Valencia,València,"Piso nuevo muy bonito, 1 hab, junto a Mercado Central y Barrio del Carmen, incluye parking y a/a. Mucha luz.",39.4742408,-0.3809133
Alquiler de piso en avenida ANTONIO FERRANDIS,850 €/m  ,91 m²   2 hab.   6ª planta exterior, Avinguda ANTONIO FERRANDIS  , Avinguda ANTONIO FERRANDIS   Ciutat de les Arts i de les Ciencies     Quatre Carreres    ,Ciutat de les Arts i de les Ciencies   , Quatre Carreres   ,Valencia,València,"VALENCIA, REF. - CIUDAD DE LAS CIENCIAS-CIUDAD DE LA JUSTICIA. Piso AMUEBLADO de 91 m perfectamente distribuidos, todas las dependencias amplias y luminosas, con impresionantes vistas al mar, a la Ciudad de las Ciencias y a la naturaleza. Dos habitaciones dobles, dos baños, salón comedor con terr...",39.449652,-0.360768
Alquiler de piso en calle Alfred Toran i Olmos,1.100 €/me,    144 m²   3 hab.   9ª planta exterior, Carrer Alfred Toran i Olmos  , Carrer Alfred Toran i Olmos   Penya-Roja     Camins al Grau    ,Penya-Roja   , Camins al Grau   ,Valencia,València,"INMUEBLE SIN AMUEBLAR, PERO CON ELECTRODOMÉSTICOS. La vivienda se encuentra en una zona muy demandada por los clientes, cuenta con una superficie construida de 144m2 en una novena planta. Distribuida en gran comedor salón muy luminoso y con salida a un balcón en forma de ele, que da a la avenida...",39.4600812,-0.3506026
Alquiler de piso en SAMUEL ROS,1.500 €/me,    147 m²   4 hab.   7ª planta exterior,Carrer SAMUEL ROS  ,Carrer SAMUEL ROS   Penya-Roja     Camins al Grau    ,Penya-Roja   , Camins al Grau   ,Valencia,València,"Preciosa vivienda en alquiler, amueblada en zona Avd. Francia, muy próximo al Corte Ingle, al CC Aqua y a los jardines del rito Turia y la Ciudad de las Ciencias. Vivienda de alto standing en residencial con conserje, zona infantil y piscina. La vivienda tiene unos 147m2 construidos y distribuido...",39.4608536,-0.3466732
Alquiler de piso en avenida de les tres creus,550 €/m  ,66 m²   2 hab.   1ª planta exterior, Avinguda de les tres creus  , Avinguda de les tres creus   Tres Forques     L'Olivereta    ,Tres Forques   , L'Olivereta   ,Valencia,València,"Vivienda ubicada frente al hospital general, en uno de los barrios más consolidados de Valencia y dotado de todos los servicios que puedas necesitar, ya que nada más bajar del portal tienes un mercadona, la parada del autobús y metro, carril bici si eres más deportista, farmacia, centro de salud,...",39.4691777,-0.4053396
